Iteration,E,nu,RMSE
432,0.0012575,0.30475,2.92E-08
433,0.0012575,0.3145,2.91E-08
434,0.0012575,0.32425,2.89E-08
435,0.0012575,0.334,2.87E-08
436,0.0012575,0.34375,2.86E-08
437,0.0012575,0.3535,2.84E-08
438,0.0012575,0.36325,2.82E-08
439,0.0012575,0.373,2.80E-08
440,0.0012575,0.38275,2.79E-08
441,0.0012575,0.3925,2.77E-08
442,0.0012575,0.40225,2.75E-08
443,0.0012575,0.412,2.73E-08
444,0.0012575,0.42175,2.72E-08
445,0.0012575,0.4315,2.70E-08
446,0.0012575,0.44125,2.68E-08
447,0.0012575,0.451,2.66E-08
448,0.0012575,0.46075,2.65E-08
449,0.0012575,0.4705,2.63E-08
450,0.0012575,0.48025,2.61E-08
451,0.0012575,0.49,2.60E-08
452,0.00138225,0.1,2.98E-08
453,0.00138225,0.10975,2.97E-08
454,0.00138225,0.1195,2.96E-08
455,0.00138225,0.12925,2.94E-08
456,0.00138225,0.139,2.93E-08
457,0.00138225,0.14875,2.92E-08
458,0.00138225,0.1585,2.90E-08
459,0.00138225,0.16825,2.89E-08
460,0.00138225,0.178,2.87E-08
461,0.00138225,0.18775,2.86E-08
462,0.00138225,0.1975,2.84E-08
463,0.00138225,0.20725,2.83E-08
464,0.00138225,0.217,2.81E-08
465,0.00138225,0.22675,2.80E-08
466,0.00138225,0.2365,2.78E-08
467,0.00138225,0.24625,2.76E-08
468,0.00138225,0.256,2.75E-08
469,0.00138225,0.26575,2.73E-08
470,0.00138225,0.2755,2.71E-08
471,0.00138225,0.28525,2.69E-08
472,0.00138225,0.295,2.67E-08
473,0.00138225,0.30475,2.66E-08
474,0.00138225,0.3145,2.64E-08
475,0.00138225,0.32425,2.62E-08
476,0.00138225,0.334,2.60E-08
477,0.00138225,0.34375,2.58E-08
478,0.00138225,0.3535,2.56E-08
479,0.00138225,0.36325,2.54E-08
480,0.00138225,0.373,2.52E-08
481,0.00138225,0.38275,2.51E-08
482,0.00138225,0.3925,2.49E-08
483,0.00138225,0.40225,2.47E-08
484,0.00138225,0.412,2.45E-08
485,0.00138225,0.42175,2.43E-08
486,0.00138225,0.4315,2.41E-08
487,0.00138225,0.44125,2.39E-08
488,0.00138225,0.451,2.37E-08
489,0.00138225,0.46075,2.35E-08
490,0.00138225,0.4705,2.33E-08
491,0.00138225,0.48025,2.32E-08
492,0.00138225,0.49,2.30E-08
493,0.001507,0.1,2.74E-08
494,0.001507,0.10975,2.73E-08
495,0.001507,0.1195,2.72E-08
496,0.001507,0.12925,2.70E-08
497,0.001507,0.139,2.69E-08
498,0.001507,0.14875,2.67E-08
499,0.001507,0.1585,2.66E-08
500,0.001507,0.16825,2.64E-08
501,0.001507,0.178,2.63E-08
502,0.001507,0.18775,2.61E-08
503,0.001507,0.1975,2.59E-08
504,0.001507,0.20725,2.58E-08
505,0.001507,0.217,2.56E-08
506,0.001507,0.22675,2.54E-08
507,0.001507,0.2365,2.52E-08
508,0.001507,0.24625,2.50E-08
509,0.001507,0.256,2.49E-08
510,0.001507,0.26575,2.47E-08
511,0.001507,0.2755,2.45E-08
512,0.001507,0.28525,2.43E-08
513,0.001507,0.295,2.41E-08
514,0.001507,0.30475,2.39E-08
515,0.001507,0.3145,2.37E-08
516,0.001507,0.32425,2.35E-08
517,0.001507,0.334,2.33E-08
518,0.001507,0.34375,2.31E-08
519,0.001507,0.3535,2.29E-08
520,0.001507,0.36325,2.27E-08
521,0.001507,0.373,2.25E-08
522,0.001507,0.38275,2.22E-08
523,0.001507,0.3925,2.20E-08
524,0.001507,0.40225,2.18E-08
525,0.001507,0.412,2.16E-08
526,0.001507,0.42175,2.14E-08
527,0.001507,0.4315,2.12E-08
528,0.001507,0.44125,2.10E-08
529,0.001507,0.451,2.08E-08
530,0.001507,0.46075,2.06E-08
531,0.001507,0.4705,2.04E-08
532,0.001507,0.48025,2.02E-08
533,0.001507,0.49,2.00E-08
534,0.00163175,0.1,2.50E-08
535,0.00163175,0.10975,2.49E-08
536,0.00163175,0.1195,2.48E-08
537,0.00163175,0.12925,2.46E-08
538,0.00163175,0.139,2.44E-08
539,0.00163175,0.14875,2.43E-08
540,0.00163175,0.1585,2.41E-08
541,0.00163175,0.16825,2.40E-08
542,0.00163175,0.178,2.38E-08
543,0.00163175,0.18775,2.36E-08
544,0.00163175,0.1975,2.34E-08
545,0.00163175,0.20725,2.32E-08
546,0.00163175,0.217,2.31E-08
547,0.00163175,0.22675,2.29E-08
548,0.00163175,0.2365,2.27E-08
549,0.00163175,0.24625,2.25E-08
550,0.00163175,0.256,2.23E-08
551,0.00163175,0.26575,2.21E-08
552,0.00163175,0.2755,2.19E-08
553,0.00163175,0.28525,2.16E-08
554,0.00163175,0.295,2.14E-08
555,0.00163175,0.30475,2.12E-08
556,0.00163175,0.3145,2.10E-08
557,0.00163175,0.32425,2.08E-08
558,0.00163175,0.334,2.06E-08
559,0.00163175,0.34375,2.03E-08
560,0.00163175,0.3535,2.01E-08
561,0.00163175,0.36325,1.99E-08
562,0.00163175,0.373,1.97E-08
563,0.00163175,0.38275,1.94E-08
564,0.00163175,0.3925,1.92E-08
565,0.00163175,0.40225,1.90E-08
566,0.00163175,0.412,1.88E-08
567,0.00163175,0.42175,1.85E-08
568,0.00163175,0.4315,1.83E-08
569,0.00163175,0.44125,1.81E-08
570,0.00163175,0.451,1.78E-08
571,0.00163175,0.46075,1.76E-08
572,0.00163175,0.4705,1.74E-08
573,0.00163175,0.48025,1.72E-08
574,0.00163175,0.49,1.70E-08
575,0.0017565,0.1,2.27E-08
576,0.0017565,0.10975,2.25E-08
577,0.0017565,0.1195,2.24E-08
578,0.0017565,0.12925,2.22E-08
579,0.0017565,0.139,2.20E-08
580,0.0017565,0.14875,2.18E-08
581,0.0017565,0.1585,2.17E-08
582,0.0017565,0.16825,2.15E-08
583,0.0017565,0.178,2.13E-08
584,0.0017565,0.18775,2.11E-08
585,0.0017565,0.1975,2.09E-08
586,0.0017565,0.20725,2.07E-08
587,0.0017565,0.217,2.05E-08
588,0.0017565,0.22675,2.03E-08
589,0.0017565,0.2365,2.01E-08
590,0.0017565,0.24625,1.99E-08
591,0.0017565,0.256,1.97E-08
592,0.0017565,0.26575,1.95E-08
593,0.0017565,0.2755,1.92E-08
594,0.0017565,0.28525,1.90E-08
595,0.0017565,0.295,1.88E-08
596,0.0017565,0.30475,1.85E-08
597,0.0017565,0.3145,1.83E-08
598,0.0017565,0.32425,1.81E-08
599,0.0017565,0.334,1.78E-08
600,0.0017565,0.34375,1.76E-08
601,0.0017565,0.3535,1.74E-08
602,0.0017565,0.36325,1.71E-08
603,0.0017565,0.373,1.69E-08
604,0.0017565,0.38275,1.66E-08
605,0.0017565,0.3925,1.64E-08
606,0.0017565,0.40225,1.61E-08
607,0.0017565,0.412,1.59E-08
608,0.0017565,0.42175,1.57E-08
609,0.0017565,0.4315,1.54E-08
610,0.0017565,0.44125,1.52E-08
611,0.0017565,0.451,1.49E-08
612,0.0017565,0.46075,1.47E-08
613,0.0017565,0.4705,1.44E-08
614,0.0017565,0.48025,1.42E-08
615,0.0017565,0.49,1.40E-08
616,0.00188125,0.1,2.03E-08
617,0.00188125,0.10975,2.01E-08
618,0.00188125,0.1195,2.00E-08
619,0.00188125,0.12925,1.98E-08
620,0.00188125,0.139,1.96E-08
621,0.00188125,0.14875,1.94E-08
622,0.00188125,0.1585,1.92E-08
623,0.00188125,0.16825,1.90E-08
624,0.00188125,0.178,1.88E-08
625,0.00188125,0.18775,1.86E-08
626,0.00188125,0.1975,1.84E-08
627,0.00188125,0.20725,1.82E-08
628,0.00188125,0.217,1.80E-08
629,0.00188125,0.22675,1.78E-08
630,0.00188125,0.2365,1.76E-08
631,0.00188125,0.24625,1.73E-08
632,0.00188125,0.256,1.71E-08
633,0.00188125,0.26575,1.69E-08
634,0.00188125,0.2755,1.66E-08
635,0.00188125,0.28525,1.64E-08
636,0.00188125,0.295,1.61E-08
637,0.00188125,0.30475,1.59E-08
638,0.00188125,0.3145,1.56E-08
639,0.00188125,0.32425,1.54E-08
640,0.00188125,0.334,1.51E-08
641,0.00188125,0.34375,1.49E-08
642,0.00188125,0.3535,1.46E-08
643,0.00188125,0.36325,1.44E-08
644,0.00188125,0.373,1.41E-08
645,0.00188125,0.38275,1.38E-08
646,0.00188125,0.3925,1.36E-08
647,0.00188125,0.40225,1.33E-08
648,0.00188125,0.412,1.30E-08
649,0.00188125,0.42175,1.28E-08
650,0.00188125,0.4315,1.25E-08
651,0.00188125,0.44125,1.23E-08
652,0.00188125,0.451,1.20E-08
653,0.00188125,0.46075,1.17E-08
