Iteration,E,nu,RMSE
758,2255.5,0.28525,8.52E-09
759,2255.5,0.295,8.22E-09
760,2255.5,0.30475,7.93E-09
761,2255.5,0.3145,7.63E-09
762,2255.5,0.32425,7.34E-09
763,2255.5,0.334,7.03E-09
764,2255.5,0.34375,6.73E-09
765,2255.5,0.3535,6.43E-09
766,2255.5,0.36325,6.12E-09
767,2255.5,0.373,5.82E-09
768,2255.5,0.38275,5.51E-09
769,2255.5,0.3925,5.19E-09
770,2255.5,0.40225,4.89E-09
771,2255.5,0.412,4.58E-09
772,2255.5,0.42175,4.28E-09
773,2255.5,0.4315,3.97E-09
774,2255.5,0.44125,3.66E-09
775,2255.5,0.451,3.35E-09
776,2255.5,0.46075,3.07E-09
777,2255.5,0.4705,2.78E-09
778,2255.5,0.48025,2.51E-09
779,2255.5,0.49,2.29E-09
780,2380.25,0.1,1.08E-08
781,2380.25,0.10975,1.06E-08
782,2380.25,0.1195,1.04E-08
783,2380.25,0.12925,1.02E-08
